"","Day","Visits","Year","Quarter","Percentage","Name"
"95","Wednesday",127458.49933869,"2022","Q1",14.4217765750806,"LibertyVillage"
"96","Thursday",139737.553197712,"2022","Q1",15.8111368156843,"LibertyVillage"
"97","Friday",128931.567499,"2022","Q1",14.5884524734952,"LibertyVillage"
"98","Saturday",122532.992011,"2022","Q1",13.8644613189978,"LibertyVillage"
"99","Sunday",74785.328640033,"2023","Q1",14.358226758326,"PapeVillage"
"100","Monday",65140.438603978,"2023","Q1",12.5064796213526,"PapeVillage"
"101","Tuesday",74970.668178,"2023","Q1",14.3938105708439,"PapeVillage"
"102","Wednesday",71362.944232567,"2023","Q1",13.7011544117822,"PapeVillage"
"103","Thursday",72826.060643056,"2023","Q1",13.9820618782286,"PapeVillage"
"104","Friday",81070.835365456,"2023","Q1",15.5649972906721,"PapeVillage"
"105","Saturday",80697.238484586,"2023","Q1",15.4932694687947,"PapeVillage"
"106","Sunday",48852.798576,"2022","Q1",12.1087449558676,"PapeVillage"
"107","Monday",61284.368281591,"2022","Q1",15.1900568019415,"PapeVillage"
"108","Tuesday",54231.586489265,"2022","Q1",13.4419412703449,"PapeVillage"
"109","Wednesday",57651.05449,"2022","Q1",14.2894969296433,"PapeVillage"
"110","Thursday",56483.839389,"2022","Q1",14.0001888371978,"PapeVillage"
"111","Friday",62610.591547,"2022","Q1",15.5187769519323,"PapeVillage"
"112","Saturday",62336.314972,"2022","Q1",15.4507942530727,"PapeVillage"
"113","Sunday",346138.595058349,"2023","Q1",14.6650344023514,"QueenStreet"
"114","Monday",302400.88793717,"2023","Q1",12.811976151208,"QueenStreet"
"115","Tuesday",314576.05859801,"2023","Q1",13.3278079571515,"QueenStreet"
"116","Wednesday",343622.878192698,"2023","Q1",14.5584497137092,"QueenStreet"
"117","Thursday",342195.523876106,"2023","Q1",14.4979762488717,"QueenStreet"
"118","Friday",356569.819023325,"2023","Q1",15.1069795089906,"QueenStreet"
"119","Saturday",354794.792105658,"2023","Q1",15.0317760177177,"QueenStreet"
"120","Sunday",300960.803347459,"2022","Q1",15.1461205878414,"QueenStreet"
"121","Monday",228555.395918656,"2022","Q1",11.5022539449738,"QueenStreet"
"122","Tuesday",264603.75595487,"2022","Q1",13.3164197832809,"QueenStreet"
"123","Wednesday",272341.245620026,"2022","Q1",13.7058158448681,"QueenStreet"
"124","Thursday",286731.436745644,"2022","Q1",14.4300150350831,"QueenStreet"
"125","Friday",297431.546444123,"2022","Q1",14.9685075895743,"QueenStreet"
"126","Saturday",336424.589297073,"2022","Q1",16.9308672143784,"QueenStreet"
"127","Sunday",99755.932234825,"2023","Q1",12.8852507960122,"Riverside"
"128","Monday",95299.77127821,"2023","Q1",12.3096584454919,"Riverside"
"129","Tuesday",104058.226046868,"2023","Q1",13.4409684713862,"Riverside"
"130","Wednesday",118055.568446422,"2023","Q1",15.2489739027959,"Riverside"
"131","Thursday",110550.705639659,"2023","Q1",14.2795875486374,"Riverside"
"132","Friday",128828.742499368,"2023","Q1",16.6405207154159,"Riverside"
"133","Saturday",117638.020131613,"2023","Q1",15.1950401202606,"Riverside"
"134","Sunday",71882.751522,"2022","Q1",12.4928212518415,"Riverside"
"135","Monday",75132.51495,"2022","Q1",13.0576120084161,"Riverside"
"136","Tuesday",84077.726055,"2022","Q1",14.6122398019912,"Riverside"
"137","Wednesday",83701.762004,"2022","Q1",14.5468993470585,"Riverside"
"138","Thursday",78355.003099,"2022","Q1",13.6176624736423,"Riverside"
"139","Friday",88481.24144,"2022","Q1",15.3775462130529,"Riverside"
"140","Saturday",93761.460911,"2022","Q1",16.2952189039975,"Riverside"
"141","Sunday",755313.373430609,"2023","Q1",12.4142901765044,"StLawrenceMarket"
"142","Monday",816017.33355033,"2023","Q1",13.4120172157681,"StLawrenceMarket"
"143","Tuesday",894952.663790281,"2023","Q1",14.7093940784684,"StLawrenceMarket"
"144","Wednesday",939598.160146217,"2023","Q1",15.4431850668621,"StLawrenceMarket"
"145","Thursday",911303.174300657,"2023","Q1",14.978130194033,"StLawrenceMarket"
"146","Friday",927022.097498427,"2023","Q1",15.2364855743343,"StLawrenceMarket"
"147","Saturday",840018.414284867,"2023","Q1",13.8064976940296,"StLawrenceMarket"
"148","Sunday",603685.722137896,"2022","Q1",11.4527379695398,"StLawrenceMarket"
"149","Monday",664483.369827092,"2022","Q1",12.6061519109577,"StLawrenceMarket"
"150","Tuesday",738504.401503558,"2022","Q1",14.0104314043063,"StLawrenceMarket"
"151","Wednesday",779076.849553675,"2022","Q1",14.7801458422346,"StLawrenceMarket"
"152","Thursday",807675.696361935,"2022","Q1",15.3227048041496,"StLawrenceMarket"
"153","Friday",845110.873852314,"2022","Q1",16.0329009590664,"StLawrenceMarket"
"154","Saturday",832567.024909006,"2022","Q1",15.7949271097456,"StLawrenceMarket"
"155","Sunday",254554.027203579,"2023","Q1",14.9720326692809,"WestQueenWest"
"156","Monday",206988.032736705,"2023","Q1",12.1743569423307,"WestQueenWest"
"157","Tuesday",221584.216273874,"2023","Q1",13.0328565668153,"WestQueenWest"
"158","Wednesday",233982.173854235,"2023","Q1",13.7620637530645,"WestQueenWest"
"159","Thursday",239761.65097838,"2023","Q1",14.1019936346093,"WestQueenWest"
"160","Friday",262208.214760242,"2023","Q1",15.422226867401,"WestQueenWest"
"161","Saturday",281118.530048557,"2023","Q1",16.5344695664985,"WestQueenWest"
"162","Sunday",119999.222746,"2022","Q1",13.6863415640592,"WestQueenWest"
"163","Monday",101492.135198,"2022","Q1",11.5755418793478,"WestQueenWest"
"164","Tuesday",120236.031507,"2022","Q1",13.7133504522357,"WestQueenWest"
"165","Wednesday",113902.665363,"2022","Q1",12.9910073377264,"WestQueenWest"
"166","Thursday",130142.105598739,"2022","Q1",14.8431737167196,"WestQueenWest"
"167","Friday",141759.831951,"2022","Q1",16.16821705797,"WestQueenWest"
"168","Saturday",149248.863823,"2022","Q1",17.0223679919413,"WestQueenWest"
"169","Sunday",2350963.54527751,"2023","Q2",12.7184988034402,"DowntownWest"
"170","Monday",2452735.51612563,"2023","Q2",13.2690759027983,"DowntownWest"
"171","Tuesday",2673164.01256092,"2023","Q2",14.4615740058795,"DowntownWest"
"172","Wednesday",2781785.12204714,"2023","Q2",15.049204321885,"DowntownWest"
"173","Thursday",2750699.40197464,"2023","Q2",14.8810334056067,"DowntownWest"
"174","Friday",2870881.28985182,"2023","Q2",15.5312064804855,"DowntownWest"
"175","Saturday",2604370.44743608,"2023","Q2",14.0894070799047,"DowntownWest"
"176","Sunday",2303397.78205935,"2022","Q2",12.1913864409723,"DowntownWest"
"177","Monday",2336764.76851059,"2022","Q2",12.367990685956,"DowntownWest"
"178","Tuesday",2703425.42096703,"2022","Q2",14.3086462434164,"DowntownWest"
"179","Wednesday",2729446.0442016,"2022","Q2",14.4463677762573,"DowntownWest"
"180","Thursday",2902579.29366361,"2022","Q2",15.362724632382,"DowntownWest"
"181","Friday",3033712.35270945,"2022","Q2",16.0567835615286,"DowntownWest"
"182","Saturday",2884323.49921916,"2022","Q2",15.2661006594874,"DowntownWest"
"183","Sunday",2198538.04807457,"2023","Q2",12.7115339133266,"DowntownYonge"
"184","Monday",2335506.73994043,"2023","Q2",13.503461154814,"DowntownYonge"
"185","Tuesday",2467791.8221098,"2023","Q2",14.268308645034,"DowntownYonge"
"186","Wednesday",2605172.84771471,"2023","Q2",15.0626199227278,"DowntownYonge"
"187","Thursday",2531503.61065661,"2023","Q2",14.6366782356812,"DowntownYonge"
"188","Friday",2693196.27778423,"2023","Q2",15.5715548567745,"DowntownYonge"
"189","Saturday",2463906.29747498,"2023","Q2",14.245843271642,"DowntownYonge"
"190","Sunday",2249216.07625624,"2022","Q2",12.4545296524981,"DowntownYonge"
"191","Monday",2441248.1540863,"2022","Q2",13.5178642217344,"DowntownYonge"
"192","Tuesday",2592397.66841731,"2022","Q2",14.3548207632017,"DowntownYonge"
"193","Wednesday",2612416.94291098,"2022","Q2",14.4656730065389,"DowntownYonge"
"194","Thursday",2703036.60364741,"2022","Q2",14.9674590570902,"DowntownYonge"
"195","Friday",2805028.37206337,"2022","Q2",15.5322156038074,"DowntownYonge"
"196","Saturday",2656078.24842961,"2022","Q2",14.7074376951293,"DowntownYonge"
"197","Sunday",1757005.21835033,"2023","Q2",9.70778007936717,"FinancialDistrict"
"198","Monday",2408119.90582364,"2023","Q2",13.3053096293201,"FinancialDistrict"
"199","Tuesday",2861170.46320721,"2023","Q2",15.8084980831619,"FinancialDistrict"
"200","Wednesday",2984232.33793186,"2023","Q2",16.4884377916525,"FinancialDistrict"
"201","Thursday",2966858.01721292,"2023","Q2",16.3924414435448,"FinancialDistrict"
"202","Friday",2960949.92040526,"2023","Q2",16.3597981116426,"FinancialDistrict"
"203","Saturday",2160603.37946731,"2023","Q2",11.937734861311,"FinancialDistrict"
"204","Sunday",2060376.87280395,"2022","Q2",9.58455952648742,"FinancialDistrict"
"205","Monday",2941947.01589985,"2022","Q2",13.6854896159316,"FinancialDistrict"
"206","Tuesday",3404583.20217726,"2022","Q2",15.8376027196128,"FinancialDistrict"
"207","Wednesday",3438389.39185533,"2022","Q2",15.9948639671108,"FinancialDistrict"
"208","Thursday",3602241.11926113,"2022","Q2",16.7570772571005,"FinancialDistrict"
"209","Friday",3398352.09342141,"2022","Q2",15.8086165503469,"FinancialDistrict"
"210","Saturday",2650944.53165217,"2022","Q2",12.33179036341,"FinancialDistrict"
"211","Sunday",95964.872776977,"2023","Q2",14.5265456256239,"GerrardIndiaBaz"
"212","Monday",86298.753293867,"2023","Q2",13.063350587368,"GerrardIndiaBaz"
"213","Tuesday",80582.538550368,"2023","Q2",12.198066740535,"GerrardIndiaBaz"
"214","Wednesday",93057.811797983,"2023","Q2",14.0864934197926,"GerrardIndiaBaz"
"215","Thursday",90327.999598814,"2023","Q2",13.6732719949826,"GerrardIndiaBaz"
"216","Friday",101261.103331418,"2023","Q2",15.3282549653706,"GerrardIndiaBaz"
"217","Saturday",113124.215705919,"2023","Q2",17.1240166663274,"GerrardIndiaBaz"
"218","Sunday",56099.280159813,"2022","Q2",14.7598509894251,"GerrardIndiaBaz"
"219","Monday",48068.302494041,"2022","Q2",12.6468821009026,"GerrardIndiaBaz"
"220","Tuesday",48579.346158457,"2022","Q2",12.7813388767183,"GerrardIndiaBaz"
"221","Wednesday",53430.172929252,"2022","Q2",14.057602673838,"GerrardIndiaBaz"
"222","Thursday",53647.952246084,"2022","Q2",14.1149009182337,"GerrardIndiaBaz"
"223","Friday",56772.286010852,"2022","Q2",14.9369203929549,"GerrardIndiaBaz"
"224","Saturday",63482.920974366,"2022","Q2",16.7025040479275,"GerrardIndiaBaz"
