,Name,Year,Quarter,Time,Visits,Percentage
89,WestQueenWest,2023,Q1,Early Morning: 12am - 6am,160505.3931,9.440400591
90,WestQueenWest,2023,Q1,Morning: 6am - 12pm,419649.8767,24.68242885
91,WestQueenWest,2023,Q1,Afternoon: 12pm - 6pm,708073.8627,41.64658136
92,WestQueenWest,2023,Q1,Evening: 6pm - 12am,411967.7133,24.2305892
93,WestQueenWest,2022,Q1,Early Morning: 12am - 6am,85189.20372,9.716134096
94,WestQueenWest,2022,Q1,Morning: 6am - 12pm,242494.4344,27.65735961
95,WestQueenWest,2022,Q1,Afternoon: 12pm - 6pm,350995.8933,40.03233998
96,WestQueenWest,2022,Q1,Evening: 6pm - 12am,198101.3248,22.59416631
97,DowntownWest,2023,Q2,Early Morning: 12am - 6am,3717734.508,20.11260531
98,DowntownWest,2023,Q2,Morning: 6am - 12pm,5058386.674,27.36541151
99,DowntownWest,2023,Q2,Afternoon: 12pm - 6pm,5928597.251,32.07317153
100,DowntownWest,2023,Q2,Evening: 6pm - 12am,3779880.901,20.44881165
101,DowntownWest,2022,Q2,Early Morning: 12am - 6am,2987887.338,15.81424166
102,DowntownWest,2022,Q2,Morning: 6am - 12pm,4870634.632,25.77921602
103,DowntownWest,2022,Q2,Afternoon: 12pm - 6pm,6083652.781,32.19945882
104,DowntownWest,2022,Q2,Evening: 6pm - 12am,4951474.411,26.20708349
105,DowntownYonge,2023,Q2,Early Morning: 12am - 6am,2413067.924,13.95190535
106,DowntownYonge,2023,Q2,Morning: 6am - 12pm,4686424.433,27.09602554
107,DowntownYonge,2023,Q2,Afternoon: 12pm - 6pm,7007717.257,40.51730451
108,DowntownYonge,2023,Q2,Evening: 6pm - 12am,3188406.03,18.4347646
109,DowntownYonge,2022,Q2,Early Morning: 12am - 6am,2266886.635,12.55237641
110,DowntownYonge,2022,Q2,Morning: 6am - 12pm,4442498.107,24.59933707
111,DowntownYonge,2022,Q2,Afternoon: 12pm - 6pm,7484497.928,41.44372893
112,DowntownYonge,2022,Q2,Evening: 6pm - 12am,3865539.395,21.40455758
113,FinancialDistrict,2023,Q2,Early Morning: 12am - 6am,1417488.751,7.831888552
114,FinancialDistrict,2023,Q2,Morning: 6am - 12pm,6921113.186,38.24043549
115,FinancialDistrict,2023,Q2,Afternoon: 12pm - 6pm,6395769.207,35.33781246
116,FinancialDistrict,2023,Q2,Evening: 6pm - 12am,3364568.099,18.58986349
117,FinancialDistrict,2022,Q2,Early Morning: 12am - 6am,1640890.047,7.633170679
118,FinancialDistrict,2022,Q2,Morning: 6am - 12pm,8293673.768,38.58090768
119,FinancialDistrict,2022,Q2,Afternoon: 12pm - 6pm,7104002.155,33.04673646
120,FinancialDistrict,2022,Q2,Evening: 6pm - 12am,4458268.257,20.73918517
121,GerrardIndiaBaz,2023,Q2,Early Morning: 12am - 6am,60636.39975,9.178748453
122,GerrardIndiaBaz,2023,Q2,Morning: 6am - 12pm,115558.4969,17.49250251
123,GerrardIndiaBaz,2023,Q2,Afternoon: 12pm - 6pm,287927.4208,43.58460231
124,GerrardIndiaBaz,2023,Q2,Evening: 6pm - 12am,196494.9776,29.74414673
125,GerrardIndiaBaz,2022,Q2,Early Morning: 12am - 6am,26545.45541,6.984171013
126,GerrardIndiaBaz,2022,Q2,Morning: 6am - 12pm,57759.28936,15.19660327
127,GerrardIndiaBaz,2022,Q2,Afternoon: 12pm - 6pm,166633.5734,43.84168043
128,GerrardIndiaBaz,2022,Q2,Evening: 6pm - 12am,129141.9428,33.97754529
129,Greektown,2023,Q2,Early Morning: 12am - 6am,173756.2894,7.179699992
130,Greektown,2023,Q2,Morning: 6am - 12pm,641773.4283,26.5184109
131,Greektown,2023,Q2,Afternoon: 12pm - 6pm,1038212.416,42.89947548
132,Greektown,2023,Q2,Evening: 6pm - 12am,566363.0178,23.40241363
133,Greektown,2022,Q2,Early Morning: 12am - 6am,101344.7895,5.242201175
134,Greektown,2022,Q2,Morning: 6am - 12pm,481255.6082,24.89362035
135,Greektown,2022,Q2,Afternoon: 12pm - 6pm,842871.6136,43.59871469
136,Greektown,2022,Q2,Evening: 6pm - 12am,507776.7546,26.26546379
137,Leslieville,2023,Q2,Early Morning: 12am - 6am,148741.5436,7.665070818
138,Leslieville,2023,Q2,Morning: 6am - 12pm,458680.9898,23.63712373
139,Leslieville,2023,Q2,Afternoon: 12pm - 6pm,843221.1719,43.45356274
140,Leslieville,2023,Q2,Evening: 6pm - 12am,489867.3107,25.24424271
141,Leslieville,2022,Q2,Early Morning: 12am - 6am,166435.9705,11.64306685
142,Leslieville,2022,Q2,Morning: 6am - 12pm,348986.364,24.4134219
143,Leslieville,2022,Q2,Afternoon: 12pm - 6pm,558097.9508,39.04187138
144,Leslieville,2022,Q2,Evening: 6pm - 12am,355965.3699,24.90163987
145,LibertyVillage,2023,Q2,Early Morning: 12am - 6am,303004.5082,11.80763436
146,LibertyVillage,2023,Q2,Morning: 6am - 12pm,752829.992,29.33666346
147,LibertyVillage,2023,Q2,Afternoon: 12pm - 6pm,972366.1447,37.89166033
148,LibertyVillage,2023,Q2,Evening: 6pm - 12am,537973.9071,20.96404185
149,LibertyVillage,2022,Q2,Early Morning: 12am - 6am,203963.4093,10.49768469
150,LibertyVillage,2022,Q2,Morning: 6am - 12pm,596988.9663,30.72610894
151,LibertyVillage,2022,Q2,Afternoon: 12pm - 6pm,705924.3321,36.33284559
152,LibertyVillage,2022,Q2,Evening: 6pm - 12am,436060.3803,22.44336078
153,PapeVillage,2023,Q2,Early Morning: 12am - 6am,61813.92088,6.353951372
154,PapeVillage,2023,Q2,Morning: 6am - 12pm,269036.6335,27.65470402
155,PapeVillage,2023,Q2,Afternoon: 12pm - 6pm,412192.035,42.36987573
156,PapeVillage,2023,Q2,Evening: 6pm - 12am,229799.6196,23.62146888
157,PapeVillage,2022,Q2,Early Morning: 12am - 6am,35007.63186,4.998998467
158,PapeVillage,2022,Q2,Morning: 6am - 12pm,193345.0003,27.60916145
159,PapeVillage,2022,Q2,Afternoon: 12pm - 6pm,291990.2683,41.69544827
160,PapeVillage,2022,Q2,Evening: 6pm - 12am,179950.0102,25.69639182
161,QueenStreet,2023,Q2,Early Morning: 12am - 6am,302127.2164,7.292742318
162,QueenStreet,2023,Q2,Morning: 6am - 12pm,893827.9199,21.57520522
163,QueenStreet,2023,Q2,Afternoon: 12pm - 6pm,1919462.046,46.33194671
164,QueenStreet,2023,Q2,Evening: 6pm - 12am,1027430.642,24.80010575
165,QueenStreet,2022,Q2,Early Morning: 12am - 6am,377182.6021,10.44437602
166,QueenStreet,2022,Q2,Morning: 6am - 12pm,684093.652,18.94289741
167,QueenStreet,2022,Q2,Afternoon: 12pm - 6pm,1553319.543,43.01219966
