"","Name","Year","Quarter","Type","Count","Percentage"
"105","WestQueenWest",2022,"Q1","Infrequent Visitor",243499.9318,33.94052548
"106","DowntownWest",2023,"Q2","Resident",2502915.936,27.4490697
"107","DowntownWest",2023,"Q2","Recurring Visitor",2721061.692,29.84143853
"108","DowntownWest",2023,"Q2","Infrequent Visitor",3894422.243,42.70949177
"109","DowntownWest",2022,"Q2","Resident",1730654.135,17.77857894
"110","DowntownWest",2022,"Q2","Recurring Visitor",1993721.626,20.48100576
"111","DowntownWest",2022,"Q2","Infrequent Visitor",6010115.061,61.7404153
"112","DowntownYonge",2023,"Q2","Resident",2212497.194,27.07790778
"113","DowntownYonge",2023,"Q2","Recurring Visitor",2511783.578,30.74075949
"114","DowntownYonge",2023,"Q2","Infrequent Visitor",3446576.488,42.18133273
"115","DowntownYonge",2022,"Q2","Resident",2396671.927,26.76221631
"116","DowntownYonge",2022,"Q2","Recurring Visitor",2696288.137,30.10785312
"117","DowntownYonge",2022,"Q2","Infrequent Visitor",3862471.351,43.12993057
"118","FinancialDistrict",2023,"Q2","Resident",1268806.872,14.69318163
"119","FinancialDistrict",2023,"Q2","Recurring Visitor",1774808.855,20.55284333
"120","FinancialDistrict",2023,"Q2","Infrequent Visitor",5591728.913,64.75397504
"121","FinancialDistrict",2022,"Q2","Resident",1256372.627,11.50098301
"122","FinancialDistrict",2022,"Q2","Recurring Visitor",1882333.405,17.2311017
"123","FinancialDistrict",2022,"Q2","Infrequent Visitor",7785339.555,71.26791529
"124","GerrardIndiaBaz",2023,"Q2","Resident",85708.40686,23.28974715
"125","GerrardIndiaBaz",2023,"Q2","Recurring Visitor",86912.58152,23.61696037
"126","GerrardIndiaBaz",2023,"Q2","Infrequent Visitor",195388.1888,53.09329248
"127","GerrardIndiaBaz",2022,"Q2","Resident",48358.58354,21.6336092
"128","GerrardIndiaBaz",2022,"Q2","Recurring Visitor",40820.58142,18.26142209
"129","GerrardIndiaBaz",2022,"Q2","Infrequent Visitor",134355.3507,60.10496872
"130","Greektown",2023,"Q2","Resident",301694.7281,25.05178734
"131","Greektown",2023,"Q2","Recurring Visitor",282114.0758,23.42587117
"132","Greektown",2023,"Q2","Infrequent Visitor",620475.4413,51.52234149
"133","Greektown",2022,"Q2","Resident",219026.1601,21.85554155
"134","Greektown",2022,"Q2","Recurring Visitor",228451.0298,22.79600287
"135","Greektown",2022,"Q2","Infrequent Visitor",554676.7012,55.34845558
"136","Leslieville",2023,"Q2","Resident",313596.5987,31.76713472
"137","Leslieville",2023,"Q2","Recurring Visitor",311546.0888,31.55941938
"138","Leslieville",2023,"Q2","Infrequent Visitor",362030.3813,36.6734459
